CATEGORY,AVERAGE,LOW,HIGH
Jumprope,10.5,8.8,11.8
Running,9.8,4.5,15
Paddle Sport,9.7,7,12
Football,8,8,11
Frisbee,8,8,8
Martial Arts,7.8,5.3,10.3
Rowing,7.7,4.8,12
Aerobics,7.6,5,10
Hiking,7.4,7,7.8
Snow Sports,7.4,5.3,10
Roller Sports,7.3,5,9.8
Stairs,7.3,4,9
Skating,7.2,5.5,9
Skiing,7,5.3,9
Soccer,7,7,10
Swimming,7,2.5,13.8
Basketball,6.9,4.5,9.3
Bicycling,6.9,3.5,14
Climbing,6.6,5,8
Tennis,6.5,4.5,8
Dancing,6.4,5,7.8
Volleyball,6,4,8
Yardwork,6,6,6
Boxing,5.5,5.5,7.8
Walking,5.4,2,9.8
Calisthenics,5.1,2.3,8
Video Game,5.1,2.3,8.8
Baseball,5,5,5
Elliptical,5,5,5
Golf,5,4.8,5.3
Weightlifting,4.8,3.5,6
Standing,2.5,2.5,2.5
Stretching,2.3,2.3,2.3
Sleeping,1,1,1
